cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at
,Pharmacy | Qualifax,Course from brute force scraping (ID: 2050),8,,General,https://www.qualifax.ie/course/2050,University College Cork,0,,,2025-01-25T15:00:00
,Nursing - General Nursing | Qualifax,Course from brute force scraping (ID: 2100),8,,Health,https://www.qualifax.ie/course/2100,University College Cork,0,,,2025-01-25T15:00:00
,History | Qualifax,Course from brute force scraping (ID: 3030),8,,General,https://www.qualifax.ie/course/3030,Trinity College Dublin,0,,,2025-01-25T15:00:00
,Music - Research | Qualifax,Course from brute force scraping (ID: 25020),8,,Arts,https://www.qualifax.ie/course/25020,Maynooth University,0,,,2025-01-25T15:00:00
,Sociology - Research | Qualifax,Course from brute force scraping (ID: 25030),8,,General,https://www.qualifax.ie/course/25030,Maynooth University,0,,,2025-01-25T15:00:00
,Fashion Design | Qualifax,Course from brute force scraping (ID: 21),8,,Arts,https://www.qualifax.ie/course/21,Unknown,0,,,2025-01-25T15:00:00
,Graphic Design | Qualifax,Course from brute force scraping (ID: 66),8,,Arts,https://www.qualifax.ie/course/66,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 106),8,,General,https://www.qualifax.ie/course/106,Unknown,0,,,2025-01-25T15:00:00
,Medicine - Undergraduate Entry | Qualifax,Course from brute force scraping (ID: 111),8,,Health,https://www.qualifax.ie/course/111,University College Dublin,0,,,2025-01-25T15:00:00
,Nursing - Mental Health Nursing | Qualifax,Course from brute force scraping (ID: 171),8,,Health,https://www.qualifax.ie/course/171,University College Cork,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 241),8,,General,https://www.qualifax.ie/course/241,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 256),8,,General,https://www.qualifax.ie/course/256,Unknown,0,,,2025-01-25T15:00:00
,Horticulture | Qualifax,Course from brute force scraping (ID: 301),8,,General,https://www.qualifax.ie/course/301,Unknown,0,,,2025-01-25T15:00:00
,Commerce | Qualifax,Course from brute force scraping (ID: 311),8,,General,https://www.qualifax.ie/course/311,University College Dublin,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 381),8,,General,https://www.qualifax.ie/course/381,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 391),8,,General,https://www.qualifax.ie/course/391,Unknown,0,,,2025-01-25T15:00:00
,Early Learning & Care Stage 1 | Qualifax,Course from brute force scraping (ID: 551),8,,General,https://www.qualifax.ie/course/551,Unknown,0,,,2025-01-25T15:00:00
,Web Design & Multimedia | Qualifax,Course from brute force scraping (ID: 566),8,,Arts,https://www.qualifax.ie/course/566,Maynooth University,0,,,2025-01-25T15:00:00
,Sustainable Construction Technologies (Construction Technology) | Qualifax,Course from brute force scraping (ID: 581),8,,STEM,https://www.qualifax.ie/course/581,Unknown,0,,,2025-01-25T15:00:00
,Beauty Therapy - Year 1 | Qualifax,Course from brute force scraping (ID: 696),8,,General,https://www.qualifax.ie/course/696,Unknown,0,,,2025-01-25T15:00:00
,Social Science | Qualifax,Course from brute force scraping (ID: 826),8,,STEM,https://www.qualifax.ie/course/826,University College Cork,0,,,2025-01-25T15:00:00
,Computing | Qualifax,Course from brute force scraping (ID: 856),8,,General,https://www.qualifax.ie/course/856,Unknown,0,,,2025-01-25T15:00:00
,Adult Green Cert - Part-time & Distance Learning Programme | Qualifax,Course from brute force scraping (ID: 876),8,,Arts,https://www.qualifax.ie/course/876,Unknown,0,,,2025-01-25T15:00:00
,Zoology | Qualifax,Course from brute force scraping (ID: 881),8,,General,https://www.qualifax.ie/course/881,Unknown,0,,,2025-01-25T15:00:00
,Nursing - Mental Health Nursing | Qualifax,Course from brute force scraping (ID: 901),8,,Health,https://www.qualifax.ie/course/901,University of Galway,0,,,2025-01-25T15:00:00
,Nursing - Mental Health Nursing | Qualifax,Course from brute force scraping (ID: 1051),8,,Health,https://www.qualifax.ie/course/1051,University College Dublin,0,,,2025-01-25T15:00:00
,Engineering - Electrical & Electronic Engineering | Qualifax,Course from brute force scraping (ID: 1066),8,,STEM,https://www.qualifax.ie/course/1066,Unknown,0,,,2025-01-25T15:00:00
,Office Administration | Qualifax,Course from brute force scraping (ID: 1096),8,,General,https://www.qualifax.ie/course/1096,Unknown,0,,,2025-01-25T15:00:00
,Engineering - Mechanical Engineering - Bolton Street | Qualifax,Course from brute force scraping (ID: 1231),8,,STEM,https://www.qualifax.ie/course/1231,Unknown,0,,,2025-01-25T15:00:00
,Architectural Technology - Cork | Qualifax,Course from brute force scraping (ID: 1241),8,,STEM,https://www.qualifax.ie/course/1241,University College Cork,0,,,2025-01-25T15:00:00
,Childcare - Early Learning & Care | Qualifax,Course from brute force scraping (ID: 1316),8,,General,https://www.qualifax.ie/course/1316,Unknown,0,,,2025-01-25T15:00:00
,Tourism Management - Grangegorman | Qualifax,Course from brute force scraping (ID: 1341),8,,Business,https://www.qualifax.ie/course/1341,Unknown,0,,,2025-01-25T15:00:00
,Accounting & Finance | Qualifax,Course from brute force scraping (ID: 1351),8,,Business,https://www.qualifax.ie/course/1351,Unknown,0,,,2025-01-25T15:00:00
,Social Studies - Applied Social Studies - Professional Social Care | Qualifax,Course from brute force scraping (ID: 1376),8,,General,https://www.qualifax.ie/course/1376,Unknown,0,,,2025-01-25T15:00:00
,Sports Coaching | Qualifax,Course from brute force scraping (ID: 1411),8,,General,https://www.qualifax.ie/course/1411,Unknown,0,,,2025-01-25T15:00:00
,Marketing | Qualifax,Course from brute force scraping (ID: 1466),8,,General,https://www.qualifax.ie/course/1466,Unknown,0,,,2025-01-25T15:00:00
,Theoretical Physics | Qualifax,Course from brute force scraping (ID: 1561),8,,General,https://www.qualifax.ie/course/1561,Unknown,0,,,2025-01-25T15:00:00
,Marine Biology | Qualifax,Course from brute force scraping (ID: 1581),8,,General,https://www.qualifax.ie/course/1581,Unknown,0,,,2025-01-25T15:00:00
,Travel & Tourism with Airline & Cabin Crew Training | Qualifax,Course from brute force scraping (ID: 1606),8,,General,https://www.qualifax.ie/course/1606,Unknown,0,,,2025-01-25T15:00:00
,Physiotherapy | Qualifax,Course from brute force scraping (ID: 1686),8,,General,https://www.qualifax.ie/course/1686,University of Limerick,0,,,2025-01-25T15:00:00
,Philosophy | Qualifax,Course from brute force scraping (ID: 1696),8,,General,https://www.qualifax.ie/course/1696,Unknown,0,,,2025-01-25T15:00:00
,Marketing | Qualifax,Course from brute force scraping (ID: 1706),8,,General,https://www.qualifax.ie/course/1706,Unknown,0,,,2025-01-25T15:00:00
,Engineering | Qualifax,Course from brute force scraping (ID: 1716),8,,STEM,https://www.qualifax.ie/course/1716,University College Dublin,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 1731),8,,General,https://www.qualifax.ie/course/1731,Unknown,0,,,2025-01-25T15:00:00
,Animation | Qualifax,Course from brute force scraping (ID: 1776),8,,General,https://www.qualifax.ie/course/1776,Unknown,0,,,2025-01-25T15:00:00
,Business Studies - Marketing & Management - Limerick | Qualifax,Course from brute force scraping (ID: 1781),8,,Business,https://www.qualifax.ie/course/1781,Unknown,0,,,2025-01-25T15:00:00
,Theology | Qualifax,Course from brute force scraping (ID: 1786),8,,General,https://www.qualifax.ie/course/1786,Unknown,0,,,2025-01-25T15:00:00
,Horticulture | Qualifax,Course from brute force scraping (ID: 1816),8,,General,https://www.qualifax.ie/course/1816,Unknown,0,,,2025-01-25T15:00:00
,Engineering Technology | Qualifax,Course from brute force scraping (ID: 1831),8,,STEM,https://www.qualifax.ie/course/1831,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 1836),8,,General,https://www.qualifax.ie/course/1836,Unknown,0,,,2025-01-25T15:00:00
,Pharmacy | Qualifax,Course from brute force scraping (ID: 1956),8,,General,https://www.qualifax.ie/course/1956,Unknown,0,,,2025-01-25T15:00:00
,Sports & PE Pre-Teaching | Qualifax,Course from brute force scraping (ID: 1971),8,,Education,https://www.qualifax.ie/course/1971,University College Cork,0,,,2025-01-25T15:00:00
,Business Studies | Qualifax,Course from brute force scraping (ID: 2036),8,,Business,https://www.qualifax.ie/course/2036,Unknown,0,,,2025-01-25T15:00:00
,Social Studies - Applied | Qualifax,Course from brute force scraping (ID: 2131),8,,General,https://www.qualifax.ie/course/2131,Unknown,0,,,2025-01-25T15:00:00
,Tourism Business - Tourism with Business | Qualifax,Course from brute force scraping (ID: 2236),8,,Business,https://www.qualifax.ie/course/2236,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 2526),8,,General,https://www.qualifax.ie/course/2526,Unknown,0,,,2025-01-25T15:00:00
,Communications | Qualifax,Course from brute force scraping (ID: 2666),8,,General,https://www.qualifax.ie/course/2666,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 2681),8,,General,https://www.qualifax.ie/course/2681,Unknown,0,,,2025-01-25T15:00:00
,Veterinary Nursing - Athlone | Qualifax,Course from brute force scraping (ID: 2691),8,,Health,https://www.qualifax.ie/course/2691,Unknown,0,,,2025-01-25T15:00:00
,Hairdressing | Qualifax,Course from brute force scraping (ID: 2711),8,,General,https://www.qualifax.ie/course/2711,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 2781),8,,General,https://www.qualifax.ie/course/2781,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 2901),8,,General,https://www.qualifax.ie/course/2901,Unknown,0,,,2025-01-25T15:00:00
,Drama | Qualifax,Course from brute force scraping (ID: 2931),8,,General,https://www.qualifax.ie/course/2931,Unknown,0,,,2025-01-25T15:00:00
,Hospitality Management - Grangegorman | Qualifax,Course from brute force scraping (ID: 2996),8,,Business,https://www.qualifax.ie/course/2996,Unknown,0,,,2025-01-25T15:00:00
,Engineering - Civil Engineering - Bolton Street | Qualifax,Course from brute force scraping (ID: 3026),8,,STEM,https://www.qualifax.ie/course/3026,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 3036),8,,General,https://www.qualifax.ie/course/3036,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 3311),8,,General,https://www.qualifax.ie/course/3311,Unknown,0,,,2025-01-25T15:00:00
,Animal Care | Qualifax,Course from brute force scraping (ID: 3316),8,,General,https://www.qualifax.ie/course/3316,Unknown,0,,,2025-01-25T15:00:00
,Engineering - Electrical & Electronic Engineering Sandwich | Qualifax,Course from brute force scraping (ID: 3441),8,,STEM,https://www.qualifax.ie/course/3441,Unknown,0,,,2025-01-25T15:00:00
,Business - International Business | Qualifax,Course from brute force scraping (ID: 3476),8,,Business,https://www.qualifax.ie/course/3476,Unknown,0,,,2025-01-25T15:00:00
,Biotechnology | Qualifax,Course from brute force scraping (ID: 3491),8,,STEM,https://www.qualifax.ie/course/3491,Dublin City University,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 3551),8,,General,https://www.qualifax.ie/course/3551,Unknown,0,,,2025-01-25T15:00:00
,Nursing Studies | Qualifax,Course from brute force scraping (ID: 3581),8,,Health,https://www.qualifax.ie/course/3581,Unknown,0,,,2025-01-25T15:00:00
,Engineering - Aerospace Engineering Sandwich | Qualifax,Course from brute force scraping (ID: 3601),8,,STEM,https://www.qualifax.ie/course/3601,Unknown,0,,,2025-01-25T15:00:00
,Social Science | Qualifax,Course from brute force scraping (ID: 3681),8,,STEM,https://www.qualifax.ie/course/3681,Maynooth University,0,,,2025-01-25T15:00:00
,Interior Design - Grangegorman | Qualifax,Course from brute force scraping (ID: 3776),8,,Arts,https://www.qualifax.ie/course/3776,Unknown,0,,,2025-01-25T15:00:00
,Business - Advanced Entry - Blanchardstown | Qualifax,Course from brute force scraping (ID: 4171),8,,Business,https://www.qualifax.ie/course/4171,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 4551),8,,General,https://www.qualifax.ie/course/4551,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 4556),8,,General,https://www.qualifax.ie/course/4556,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 4966),8,,General,https://www.qualifax.ie/course/4966,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 5216),8,,General,https://www.qualifax.ie/course/5216,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 5281),8,,General,https://www.qualifax.ie/course/5281,Unknown,0,,,2025-01-25T15:00:00
,Access denied | Qualifax,Course from brute force scraping (ID: 5306),8,,General,https://www.qualifax.ie/course/5306,Unknown,0,,,2025-01-25T15:00:00
