id,year,question_number,title,text,marks,difficulty,paper_type,primary_topic,all_topics,topic_count
1,2024,1(a),Differentiate f(x) = 3x⁴ - 2x³ + 5x² - 7x + 1 with respect to x.,Differentiate f(x) = 3x⁴ - 2x³ + 5x² - 7x + 1 with respect to x.,4,Easy,Higher Level,Calculus - Differentiation,Calculus - Differentiation; Functions,2
29,2022,1(b),Solve the differential equation dy/dx = 3x² + 2x - 1.,Solve the differential equation dy/dx = 3x² + 2x - 1. [2022],7,Medium,Higher Level,Algebra,Algebra; Calculus - Differentiation,2
37,2021,1(b),Solve the differential equation dy/dx = 3x² + 2x - 1.,Solve the differential equation dy/dx = 3x² + 2x - 1. [2021],7,Medium,Higher Level,Algebra,Algebra; Calculus - Differentiation,2
45,2020,1(b),Solve the differential equation dy/dx = 3x² + 2x - 1.,Solve the differential equation dy/dx = 3x² + 2x - 1. [2020],7,Medium,Higher Level,Algebra,Algebra; Calculus - Differentiation,2
2,2024,1(b),Find the equation of the tangent to the curve y = x³ - 6x² + 9x + 2 at the po...,Find the equation of the tangent to the curve y = x³ - 6x² + 9x + 2 at the point where x = 2.,6,Medium,Higher Level,Trigonometry,Trigonometry; Algebra; Calculus - Differentiation,3
4,2024,2(b),Prove the identity: cos²(x) - sin²(x) = cos(2x).,Prove the identity: cos²(x) - sin²(x) = cos(2x).,5,Medium,Higher Level,Trigonometry,Trigonometry,1
13,2024,6(c),Find the total distance travelled by the particle in the first 4 seconds.,Find the total distance travelled by the particle in the first 4 seconds.,11,Hard,Higher Level,Trigonometry,Trigonometry,1
22,2023,2(a),"A triangle has sides of length a = 8, b = 10, and angle C = 60°. Use the cosi...","A triangle has sides of length a = 8, b = 10, and angle C = 60°. Use the cosine rule to find the length of side c.",5,Medium,Higher Level,Trigonometry,"Trigonometry; Geometry; Length, Area and Volume",3
23,2023,2(b),Hence find the area of the triangle using the formula Area = ½ab sin(C).,Hence find the area of the triangle using the formula Area = ½ab sin(C).,4,Easy,Higher Level,Trigonometry,"Trigonometry; Geometry; Length, Area and Volume",3
30,2022,2(a),Express sin(3θ) in terms of sin(θ) and cos(θ).,Express sin(3θ) in terms of sin(θ) and cos(θ). [2022],6,Medium,Higher Level,Trigonometry,Trigonometry,1
38,2021,2(a),Express sin(3θ) in terms of sin(θ) and cos(θ).,Express sin(3θ) in terms of sin(θ) and cos(θ). [2021],6,Medium,Higher Level,Trigonometry,Trigonometry,1
46,2020,2(a),Express sin(3θ) in terms of sin(θ) and cos(θ).,Express sin(3θ) in terms of sin(θ) and cos(θ). [2020],6,Medium,Higher Level,Trigonometry,Trigonometry,1
3,2024,2(a),Solve the equation sin(2θ) = √3/2 for 0° ≤ θ ≤ 360°.,Solve the equation sin(2θ) = √3/2 for 0° ≤ θ ≤ 360°.,5,Medium,Higher Level,Algebra,Algebra; Trigonometry,2
9,2024,5(a),Solve the quadratic equation 2x² - 7x + 3 = 0 using the quadratic formula.,Solve the quadratic equation 2x² - 7x + 3 = 0 using the quadratic formula.,4,Easy,Higher Level,Algebra,Algebra; Trigonometry,2
25,2023,3(b),Find the determinant of matrix A and hence find A⁻¹.,Find the determinant of matrix A and hence find A⁻¹.,7,Medium,Higher Level,General Mathematics,General Mathematics,1
31,2022,2(b),Solve cos(2x) = 0.5 for 0 ≤ x ≤ 2π.,Solve cos(2x) = 0.5 for 0 ≤ x ≤ 2π. [2022],5,Medium,Higher Level,Algebra,Algebra; Trigonometry,2
39,2021,2(b),Solve cos(2x) = 0.5 for 0 ≤ x ≤ 2π.,Solve cos(2x) = 0.5 for 0 ≤ x ≤ 2π. [2021],5,Medium,Higher Level,Algebra,Algebra; Trigonometry,2
47,2020,2(b),Solve cos(2x) = 0.5 for 0 ≤ x ≤ 2π.,Solve cos(2x) = 0.5 for 0 ≤ x ≤ 2π. [2020],5,Medium,Higher Level,Algebra,Algebra; Trigonometry,2
5,2024,3(a),"Find the complex number z such that z² + 2z + 5 = 0, giving your answer in th...","Find the complex number z such that z² + 2z + 5 = 0, giving your answer in the form a + bi.",5,Medium,Higher Level,Complex Numbers,Complex Numbers,1
6,2024,3(b),Express the complex number z = -1 + i√3 in polar form.,Express the complex number z = -1 + i√3 in polar form.,5,Medium,Higher Level,Complex Numbers,Complex Numbers,1
7,2024,4(a),A bag contains 5 red balls and 3 blue balls. Two balls are drawn without repl...,A bag contains 5 red balls and 3 blue balls. Two balls are drawn without replacement. Find the probability that both balls are red.,4,Easy,Higher Level,Probability,Probability,1
10,2024,5(b),"Find the sum of the first 20 terms of the arithmetic sequence: 3, 7, 11, 15, ...","Find the sum of the first 20 terms of the arithmetic sequence: 3, 7, 11, 15, ...",6,Medium,Higher Level,Sequences and Series,Sequences and Series,1
12,2024,6(b),Find the time intervals when the particle is moving in the positive direction.,Find the time intervals when the particle is moving in the positive direction.,8,Medium,Higher Level,General Mathematics,General Mathematics,1
16,2024,7(c),Sketch the graph of h(t) showing all key features.,Sketch the graph of h(t) showing all key features.,11,Hard,Higher Level,General Mathematics,General Mathematics,1
17,2024,8(a),A manufacturing company finds that the cost C (in euros) of producing x units...,A manufacturing company finds that the cost C (in euros) of producing x units is given by C(x) = 0.002x³ - 0.6x² + 100x + 5000. Find the marginal cost when x = 200 units.,7,Medium,Higher Level,Trigonometry,Trigonometry,1
18,2024,8(b),Find the value of x that minimizes the average cost per unit.,Find the value of x that minimizes the average cost per unit.,12,Hard,Higher Level,Trigonometry,Trigonometry,1
19,2024,8(c),"If the selling price per unit is €150, find the production level that maximiz...","If the selling price per unit is €150, find the production level that maximizes profit.",6,Medium,Higher Level,General Mathematics,General Mathematics,1
20,2023,1(a),Evaluate ∫₀⁴ (2x + 3) dx using the fundamental theorem of calculus.,Evaluate ∫₀⁴ (2x + 3) dx using the fundamental theorem of calculus.,5,Medium,Higher Level,Calculus - Integration,Calculus - Integration; Trigonometry; Geometry,3
21,2023,1(b),Find the area between the curve y = x² - 4x + 3 and the x-axis.,Find the area between the curve y = x² - 4x + 3 and the x-axis.,8,Medium,Higher Level,"Length, Area and Volume","Length, Area and Volume",1
24,2023,3(a),"Given the matrices A =  and B = , find AB.","Given the matrices A = [2 -1; 3 4] and B = [1 2; -1 3], find AB.",4,Easy,Higher Level,General Mathematics,General Mathematics,1
27,2023,4(b),"If 5 students are selected at random, find the probability that exactly 3 hav...","If 5 students are selected at random, find the probability that exactly 3 have heights between 160 cm and 180 cm.",8,Medium,Higher Level,Probability,"Probability; Length, Area and Volume",2
28,2022,1(a),Find the derivative of f(x) = x⁴ - 3x³ + 2x² - x + 5.,Find the derivative of f(x) = x⁴ - 3x³ + 2x² - x + 5. [2022],4,Easy,Higher Level,Calculus - Differentiation,Calculus - Differentiation; Functions,2
32,2022,3(a),"Find the equation of the circle with center (3, -2) and radius 5.","Find the equation of the circle with center (3, -2) and radius 5. [2022]",3,Easy,Higher Level,Coordinate Geometry - Circle,Coordinate Geometry - Circle; Algebra,2
35,2022,4(b),"In a binomial distribution with n = 12 and p = 0.3, find P(X = 4).","In a binomial distribution with n = 12 and p = 0.3, find P(X = 4). [2022]",6,Medium,Higher Level,Statistics,Statistics,1
36,2021,1(a),Find the derivative of f(x) = x⁴ - 3x³ + 2x² - x + 5.,Find the derivative of f(x) = x⁴ - 3x³ + 2x² - x + 5. [2021],4,Easy,Higher Level,Calculus - Differentiation,Calculus - Differentiation; Functions,2
40,2021,3(a),"Find the equation of the circle with center (3, -2) and radius 5.","Find the equation of the circle with center (3, -2) and radius 5. [2021]",3,Easy,Higher Level,Coordinate Geometry - Circle,Coordinate Geometry - Circle; Algebra,2
43,2021,4(b),"In a binomial distribution with n = 12 and p = 0.3, find P(X = 4).","In a binomial distribution with n = 12 and p = 0.3, find P(X = 4). [2021]",6,Medium,Higher Level,Statistics,Statistics,1
44,2020,1(a),Find the derivative of f(x) = x⁴ - 3x³ + 2x² - x + 5.,Find the derivative of f(x) = x⁴ - 3x³ + 2x² - x + 5. [2020],4,Easy,Higher Level,Calculus - Differentiation,Calculus - Differentiation; Functions,2
48,2020,3(a),"Find the equation of the circle with center (3, -2) and radius 5.","Find the equation of the circle with center (3, -2) and radius 5. [2020]",3,Easy,Higher Level,Coordinate Geometry - Circle,Coordinate Geometry - Circle; Algebra,2
51,2020,4(b),"In a binomial distribution with n = 12 and p = 0.3, find P(X = 4).","In a binomial distribution with n = 12 and p = 0.3, find P(X = 4). [2020]",6,Medium,Higher Level,Statistics,Statistics,1
8,2024,4(b),"In a normal distribution with mean μ = 50 and standard deviation σ = 8, find ...","In a normal distribution with mean μ = 50 and standard deviation σ = 8, find P(42 < X < 58).",6,Medium,Higher Level,Statistics,Statistics; Trigonometry; Calculus - Differentiation,3
26,2023,4(a),The heights of students in a class are normally distributed with mean 170 cm ...,The heights of students in a class are normally distributed with mean 170 cm and standard deviation 12 cm. Find the probability that a randomly selected student has height between 160 cm and 180 cm.,7,Medium,Higher Level,Statistics,"Statistics; Trigonometry; Calculus - Differentiation; Probability; Length, Area and Volume",5
34,2022,4(a),A dataset has mean 25 and standard deviation 4. Find the z-score for x = 33.,A dataset has mean 25 and standard deviation 4. Find the z-score for x = 33. [2022],3,Easy,Higher Level,Statistics,Statistics; Trigonometry,2
42,2021,4(a),A dataset has mean 25 and standard deviation 4. Find the z-score for x = 33.,A dataset has mean 25 and standard deviation 4. Find the z-score for x = 33. [2021],3,Easy,Higher Level,Statistics,Statistics; Trigonometry,2
50,2020,4(a),A dataset has mean 25 and standard deviation 4. Find the z-score for x = 33.,A dataset has mean 25 and standard deviation 4. Find the z-score for x = 33. [2020],3,Easy,Higher Level,Statistics,Statistics; Trigonometry,2
11,2024,6(a),A particle moves along a straight line so that its position at time t is give...,A particle moves along a straight line so that its position at time t is given by s(t) = t³ - 6t² + 9t + 4. Find the velocity of the particle when t = 3 seconds.,6,Medium,Higher Level,Coordinate Geometry - Line,Coordinate Geometry - Line,1
14,2024,7(a),The height h(t) of a projectile fired vertically upward is given by h(t) = -5...,"The height h(t) of a projectile fired vertically upward is given by h(t) = -5t² + 40t + 2, where t is time in seconds and h is height in meters. Find the maximum height reached.",8,Medium,Higher Level,Calculus - Differentiation,"Calculus - Differentiation; Length, Area and Volume",2
15,2024,7(b),Find the time when the projectile hits the ground.,Find the time when the projectile hits the ground.,6,Medium,Higher Level,General Mathematics,General Mathematics,1
33,2022,3(b),Find the points of intersection of this circle with the line y = x - 1.,Find the points of intersection of this circle with the line y = x - 1. [2022],8,Medium,Higher Level,Coordinate Geometry - Line,Coordinate Geometry - Line; Coordinate Geometry - Circle,2
41,2021,3(b),Find the points of intersection of this circle with the line y = x - 1.,Find the points of intersection of this circle with the line y = x - 1. [2021],8,Medium,Higher Level,Coordinate Geometry - Line,Coordinate Geometry - Line; Coordinate Geometry - Circle,2
49,2020,3(b),Find the points of intersection of this circle with the line y = x - 1.,Find the points of intersection of this circle with the line y = x - 1. [2020],8,Medium,Higher Level,Coordinate Geometry - Line,Coordinate Geometry - Line; Coordinate Geometry - Circle,2
